area_fips,area_title,avg_emplvl_1990,avg_wkly_wage_1990,avg_emplvl_2015,avg_wkly_wage_2015,wage_pct_change
30019,"Daniels County, Montana",589,265,594,706,1
30021,"Dawson County, Montana",3017,283,3760,790,1
30023,"Deer Lodge County, Montana",2606,299,3241,630,1
30025,"Fallon County, Montana",899,334,1625,1238,2
30027,"Fergus County, Montana",3414,278,4219,610,1
30029,"Flathead County, Montana",20650,382,38649,716,0
30031,"Gallatin County, Montana",18839,312,49670,730,1
30033,"Garfield County, Montana",293,214,267,488,1
30035,"Glacier County, Montana",3212,317,3879,668,1
30037,"Golden Valley County, Montana",163,245,182,500,1
30039,"Granite County, Montana",714,266,820,468,0
30041,"Hill County, Montana",5112,294,6787,639,1
30043,"Jefferson County, Montana",1981,382,2406,703,0
30045,"Judith Basin County, Montana",380,244,486,562,1
30047,"Lake County, Montana",5165,291,8134,636,1
30049,"Lewis and Clark County, Montana",21472,353,34960,800,1
30051,"Liberty County, Montana",441,274,480,536,0
30053,"Lincoln County, Montana",5262,369,4880,652,0
30055,"McCone County, Montana",476,277,578,640,1
30057,"Madison County, Montana",1318,306,4353,653,1
30059,"Meagher County, Montana",493,210,635,469,1
30061,"Mineral County, Montana",928,310,1083,521,0
30063,"Missoula County, Montana",32015,345,55423,716,1
30065,"Musselshell County, Montana",877,257,1345,995,2
30067,"Park County, Montana",3273,278,5220,605,1
30069,"Petroleum County, Montana",63,247,93,514,1
30071,"Phillips County, Montana",1572,340,1227,591,0
30073,"Pondera County, Montana",1578,280,1682,633,1
30075,"Powder River County, Montana",430,226,501,550,1
30077,"Powell County, Montana",1991,313,2247,729,1
30079,"Prairie County, Montana",289,212,297,668,2
30081,"Ravalli County, Montana",5181,277,10807,626,1
30083,"Richland County, Montana",3274,321,6674,1056,2
30085,"Roosevelt County, Montana",3297,290,3703,646,1
30087,"Rosebud County, Montana",3990,427,3998,879,1
30089,"Sanders County, Montana",2053,280,2594,552,0
30091,"Sheridan County, Montana",1227,265,1515,745,1
30093,"Silver Bow County, Montana",10957,375,15401,796,1
30095,"Stillwater County, Montana",1740,365,3212,1154,2
30097,"Sweet Grass County, Montana",767,224,1426,972,3
30099,"Teton County, Montana",1330,291,1752,581,0
30101,"Toole County, Montana",1566,306,1950,765,1
30103,"Treasure County, Montana",189,262,179,657,1
30105,"Valley County, Montana",2372,279,3086,634,1
30107,"Wheatland County, Montana",504,227,553,576,1
30109,"Wibaux County, Montana",203,255,303,610,1
30111,"Yellowstone County, Montana",48433,354,78532,835,1
31001,"Adams County, Nebraska",13975,314,14865,652,1
31003,"Antelope County, Nebraska",1990,240,2063,591,1
31005,"Arthur County, Nebraska",88,222,84,488,1
31007,"Banner County, Nebraska",129,268,159,669,1
31009,"Blaine County, Nebraska",161,215,117,613,1
31011,"Boone County, Nebraska",1751,240,2292,630,1
31013,"Box Butte County, Nebraska",3640,279,3828,631,1
31015,"Boyd County, Nebraska",560,210,564,499,1
31017,"Brown County, Nebraska",1036,248,1203,590,1
31019,"Buffalo County, Nebraska",15973,316,26449,703,1
31021,"Burt County, Nebraska",1757,262,1841,618,1
31023,"Butler County, Nebraska",1762,258,2634,835,2
